Attendance,Study_Hours,Assignment_Score,Internal_Marks,Previous_GPA,Participation,Result
88,4,82,83,5.09,2,1
78,5,82,35,8.74,10,1
64,7,87,47,7.95,5,1
92,1,50,85,6.99,4,0
57,6,90,90,7.33,8,1
70,6,86,96,8.32,2,1
88,6,96,66,5.37,6,1
68,4,62,64,9.98,5,1
72,5,94,63,9.85,2,1
60,4,55,83,7.9,10,1
60,8,70,79,5.2,1,1
73,2,50,64,8.08,8,0
85,2,93,50,4.43,2,0
89,8,55,74,4.18,7,1
73,5,47,53,5.55,9,1
52,7,43,52,6.78,9,1
71,4,79,35,9.21,8,1
51,1,43,81,8.36,10,0
73,6,95,100,8.46,9,1
93,6,64,72,6.55,2,1
79,5,42,85,6.08,6,1
87,7,71,97,6.23,4,1
51,2,42,38,9.93,4,0
70,2,66,35,4.24,5,0
82,6,68,42,9.2,3,1
61,5,71,63,7.47,1,1
71,4,89,89,6.63,8,1
93,2,100,37,8.35,5,1
74,4,97,66,6.92,3,1
98,7,90,44,9.24,10,1
76,2,58,68,9.4,7,1
91,2,60,89,6.53,7,1
77,3,44,66,5.66,1,0
65,2,57,84,7.55,9,1
64,8,67,41,9.47,2,1
96,1,81,42,5.26,5,0
100,8,100,99,7.74,5,1
93,5,61,91,7.79,8,1
52,5,60,93,8.4,8,1
86,4,45,88,4.79,7,1
100,8,40,85,8.29,7,1
56,8,44,42,9.45,6,1
70,8,80,68,5.08,6,1
58,7,51,69,5.43,9,1
88,2,65,66,9.83,6,1
67,1,85,80,5.09,2,0
53,4,73,50,9.13,2,1
74,8,88,71,6.95,5,1
63,8,53,88,5.48,4,1
99,3,65,48,9.22,2,1
58,4,84,89,6.67,3,1
75,8,66,82,7.09,7,1
51,4,48,41,6.16,8,0
69,2,65,41,7.56,6,0
77,3,96,67,4.98,5,1
96,4,86,57,6.35,1,1
56,1,96,53,9.82,8,1
93,1,61,53,5.55,3,0
57,5,86,70,7.94,6,1
96,3,95,63,5.95,3,1
84,3,69,94,8.64,7,1
63,5,82,36,4.79,7,1
66,4,87,35,9.82,9,1
85,3,100,81,6.72,5,1
99,1,56,54,5.42,8,0
89,1,65,45,4.44,10,0
53,8,75,36,5.02,10,1
51,2,40,46,7.12,8,0
55,3,47,54,6.02,1,0
91,4,88,39,8.97,5,1
53,5,74,71,6.59,3,1
78,5,100,72,5.49,1,1
67,4,91,43,7.7,4,1
75,7,54,87,8.24,8,1
93,6,86,78,5.0,3,1
83,2,95,58,5.01,10,1
59,5,61,64,4.22,2,1
85,3,53,93,8.42,9,1
63,2,65,48,7.98,10,0
80,3,67,43,6.85,5,0
97,7,62,74,9.07,7,1
64,1,53,100,8.83,2,0
57,2,63,59,7.51,9,0
63,8,41,56,9.21,9,1
72,5,84,38,5.24,4,1
89,2,65,60,4.67,4,0
70,2,53,92,5.62,6,0
65,2,98,63,4.34,10,1
94,6,95,71,7.19,10,1
67,2,90,52,9.62,10,1
96,3,46,76,4.24,6,1
73,1,42,75,4.73,1,0
75,7,86,72,6.71,9,1
74,4,62,68,9.6,2,1
94,2,85,51,5.9,5,1
90,5,82,71,7.04,9,1
78,2,86,59,4.25,4,0
64,5,99,61,4.89,3,1
94,3,84,91,9.92,7,1
50,5,57,65,9.79,6,1
74,8,97,40,4.03,8,1
56,4,77,74,9.71,3,1
58,1,74,46,7.83,5,0
73,5,90,87,9.21,10,1
50,5,54,44,6.73,4,0
93,1,64,79,7.09,4,0
57,4,94,51,6.93,4,1
73,2,76,60,8.0,10,1
60,5,67,96,4.84,8,1
100,1,49,80,4.18,6,0
66,8,78,98,5.85,3,1
57,8,96,36,8.23,10,1
84,3,56,88,5.21,5,1
84,1,78,99,8.04,6,1
82,3,61,85,9.82,5,1
54,8,65,87,4.56,6,1
91,4,83,70,8.04,8,1
88,2,64,60,6.66,7,1
90,1,56,63,9.21,5,0
77,7,52,55,5.06,10,1
56,8,59,45,8.16,6,1
58,8,64,74,9.03,4,1
57,7,43,45,9.67,9,1
61,6,49,70,8.1,4,1
83,8,42,93,6.98,1,1
82,5,80,73,7.71,7,1
97,4,84,88,9.21,7,1
72,1,57,89,7.42,4,0
73,7,86,58,4.18,3,1
86,5,75,56,9.59,8,1
84,7,86,90,8.14,5,1
93,1,61,67,8.06,10,1
89,3,73,70,5.29,7,1
71,1,86,54,7.95,4,0
76,6,47,96,6.36,4,1
84,1,79,60,7.91,8,1
50,1,88,100,4.64,8,0
84,6,83,74,7.95,2,1
86,4,58,51,10.0,2,1
96,8,81,35,4.29,3,1
63,1,80,95,9.86,3,1
52,6,76,77,6.44,1,1
50,5,45,76,9.22,3,1
54,3,91,59,8.69,6,1
75,3,65,73,7.4,8,1
63,1,73,69,8.43,10,1
88,4,98,37,9.27,6,1
76,4,95,78,6.42,5,1
58,5,98,85,5.96,4,1
64,1,84,46,8.01,3,0
64,3,45,53,8.85,4,0
75,4,76,78,8.57,7,1
91,1,96,93,8.79,1,1
62,7,72,83,6.61,7,1
100,4,92,95,8.91,1,1
81,6,61,51,4.72,2,1
88,7,60,91,7.27,4,1
98,8,45,89,4.03,1,1
81,4,45,81,5.95,9,1
53,3,94,46,6.2,6,0
79,2,87,96,6.38,1,1
86,7,43,42,8.17,1,1
72,8,69,55,6.33,6,1
88,5,50,59,6.69,4,1
94,5,69,46,5.43,4,1
64,3,70,49,6.24,6,0
92,4,63,93,5.36,7,1
78,1,94,60,4.44,9,0
85,4,48,60,7.62,10,1
62,3,94,81,8.01,5,1
81,5,42,66,7.72,9,1
56,4,90,44,6.78,4,1
100,5,70,50,6.28,10,1
